UF,municipio,idhm,idhm_educacao,idhm_longevidade,idhm_renda,classe
São Paulo,ADAMANTINA,0.79,0.75,0.852,0.772,Médio Desenvolvimento Humano
São Paulo,ADOLFO,0.73,0.648,0.844,0.71,Médio Desenvolvimento Humano
São Paulo,AGUAÍ,0.715,0.606,0.858,0.703,Médio Desenvolvimento Humano
São Paulo,ÁGUAS DA PRATA,0.781,0.716,0.886,0.75,Médio Desenvolvimento Humano
São Paulo,ÁGUAS DE LINDÓIA,0.745,0.675,0.846,0.725,Médio Desenvolvimento Humano
São Paulo,ÁGUAS DE SANTA BÁRBARA,0.757,0.695,0.84,0.744,Médio Desenvolvimento Humano
São Paulo,ÁGUAS DE SÃO PEDRO,0.854,0.825,0.89,0.849,Alto Desenvolvimento Humano
São Paulo,AGUDOS,0.745,0.694,0.845,0.705,Médio Desenvolvimento Humano
São Paulo,ALAMBARI,0.712,0.658,0.805,0.682,Médio Desenvolvimento Humano
São Paulo,ALFREDO MARCONDES,0.741,0.71,0.84,0.682,Médio Desenvolvimento Humano
São Paulo,ALTAIR,0.687,0.581,0.8,0.698,Médio Desenvolvimento Humano
São Paulo,ALTINÓPOLIS,0.73,0.635,0.843,0.726,Médio Desenvolvimento Humano
São Paulo,ALTO ALEGRE,0.7,0.616,0.817,0.683,Médio Desenvolvimento Humano
São Paulo,ALUMÍNIO,0.766,0.732,0.841,0.729,Médio Desenvolvimento Humano
São Paulo,ÁLVARES FLORENCE,0.728,0.683,0.806,0.701,Médio Desenvolvimento Humano
São Paulo,ÁLVARES MACHADO,0.758,0.732,0.834,0.712,Médio Desenvolvimento Humano
São Paulo,ÁLVARO DE CARVALHO,0.688,0.605,0.805,0.669,Médio Desenvolvimento Humano
São Paulo,ALVINLÂNDIA,0.722,0.659,0.791,0.721,Médio Desenvolvimento Humano
São Paulo,AMERICANA,0.811,0.76,0.876,0.8,Alto Desenvolvimento Humano
São Paulo,AMÉRICO BRASILIENSE,0.751,0.701,0.852,0.709,Médio Desenvolvimento Humano
São Paulo,AMÉRICO DE CAMPOS,0.745,0.708,0.817,0.715,Médio Desenvolvimento Humano
São Paulo,AMPARO,0.785,0.711,0.871,0.78,Médio Desenvolvimento Humano
São Paulo,ANALÂNDIA,0.754,0.668,0.861,0.745,Médio Desenvolvimento Humano
São Paulo,ANDRADINA,0.779,0.702,0.885,0.762,Médio Desenvolvimento Humano
São Paulo,ANGATUBA,0.719,0.648,0.827,0.693,Médio Desenvolvimento Humano
São Paulo,ANHEMBI,0.721,0.637,0.863,0.681,Médio Desenvolvimento Humano
São Paulo,ANHUMAS,0.741,0.706,0.845,0.683,Médio Desenvolvimento Humano
São Paulo,APARECIDA,0.755,0.706,0.828,0.735,Médio Desenvolvimento Humano
São Paulo,APARECIDA D'OESTE,0.721,0.67,0.804,0.697,Médio Desenvolvimento Humano
São Paulo,APIAÍ,0.71,0.647,0.835,0.662,Médio Desenvolvimento Humano
São Paulo,ARAÇARIGUAMA,0.704,0.597,0.814,0.717,Médio Desenvolvimento Humano
São Paulo,ARAÇATUBA,0.788,0.744,0.841,0.782,Médio Desenvolvimento Humano
São Paulo,ARAÇOIABA DA SERRA,0.776,0.723,0.86,0.751,Médio Desenvolvimento Humano
São Paulo,ARAMINA,0.74,0.656,0.856,0.723,Médio Desenvolvimento Humano
São Paulo,ARANDU,0.685,0.592,0.806,0.675,Médio Desenvolvimento Humano
São Paulo,ARAPEÍ,0.68,0.612,0.812,0.634,Médio Desenvolvimento Humano
São Paulo,ARARAQUARA,0.815,0.782,0.877,0.788,Alto Desenvolvimento Humano
São Paulo,ARARAS,0.781,0.728,0.859,0.763,Médio Desenvolvimento Humano
São Paulo,ARCO-ÍRIS,0.722,0.694,0.809,0.671,Médio Desenvolvimento Humano
São Paulo,AREALVA,0.744,0.683,0.84,0.718,Médio Desenvolvimento Humano
São Paulo,AREIAS,0.697,0.672,0.803,0.627,Médio Desenvolvimento Humano
São Paulo,AREIÓPOLIS,0.695,0.594,0.823,0.686,Médio Desenvolvimento Humano
São Paulo,ARIRANHA,0.733,0.663,0.813,0.73,Médio Desenvolvimento Humano
São Paulo,ARTUR NOGUEIRA,0.749,0.681,0.827,0.745,Médio Desenvolvimento Humano
São Paulo,ARUJÁ,0.784,0.73,0.866,0.761,Médio Desenvolvimento Humano
São Paulo,ASPÁSIA,0.735,0.657,0.864,0.699,Médio Desenvolvimento Humano
São Paulo,ASSIS,0.805,0.781,0.865,0.771,Alto Desenvolvimento Humano
São Paulo,ATIBAIA,0.765,0.67,0.851,0.786,Médio Desenvolvimento Humano
São Paulo,AURIFLAMA,0.773,0.738,0.84,0.746,Médio Desenvolvimento Humano
São Paulo,AVAÍ,0.714,0.65,0.83,0.674,Médio Desenvolvimento Humano
São Paulo,AVANHANDAVA,0.705,0.623,0.817,0.688,Médio Desenvolvimento Humano
São Paulo,AVARÉ,0.767,0.695,0.866,0.751,Médio Desenvolvimento Humano
São Paulo,BADY BASSITT,0.746,0.701,0.805,0.737,Médio Desenvolvimento Humano
São Paulo,BALBINOS,0.669,0.537,0.809,0.69,Médio Desenvolvimento Humano
São Paulo,BÁLSAMO,0.756,0.695,0.835,0.746,Médio Desenvolvimento Humano
São Paulo,BANANAL,0.733,0.653,0.872,0.693,Médio Desenvolvimento Humano
São Paulo,BARÃO DE ANTONINA,0.711,0.649,0.82,0.676,Médio Desenvolvimento Humano
São Paulo,BARBOSA,0.699,0.599,0.843,0.676,Médio Desenvolvimento Humano
São Paulo,BARIRI,0.75,0.662,0.867,0.736,Médio Desenvolvimento Humano
São Paulo,BARRA BONITA,0.788,0.739,0.869,0.762,Médio Desenvolvimento Humano
São Paulo,BARRA DO CHAPÉU,0.66,0.599,0.779,0.617,Médio Desenvolvimento Humano
São Paulo,BARRA DO TURVO,0.641,0.532,0.792,0.625,Médio Desenvolvimento Humano
São Paulo,BARRETOS,0.789,0.738,0.875,0.762,Médio Desenvolvimento Humano
São Paulo,BARRINHA,0.725,0.646,0.829,0.711,Médio Desenvolvimento Humano
São Paulo,BARUERI,0.786,0.708,0.866,0.791,Médio Desenvolvimento Humano
São Paulo,BASTOS,0.751,0.718,0.848,0.696,Médio Desenvolvimento Humano
São Paulo,BATATAIS,0.761,0.685,0.84,0.766,Médio Desenvolvimento Humano
São Paulo,BAURU,0.801,0.752,0.854,0.8,Alto Desenvolvimento Humano
São Paulo,BEBEDOURO,0.78,0.735,0.853,0.756,Médio Desenvolvimento Humano
São Paulo,BENTO DE ABREU,0.744,0.712,0.82,0.706,Médio Desenvolvimento Humano
São Paulo,BERNARDINO DE CAMPOS,0.734,0.662,0.838,0.713,Médio Desenvolvimento Humano
São Paulo,BERTIOGA,0.73,0.654,0.817,0.727,Médio Desenvolvimento Humano
São Paulo,BILAC,0.768,0.722,0.845,0.743,Médio Desenvolvimento Humano
São Paulo,BIRIGUI,0.78,0.734,0.869,0.743,Médio Desenvolvimento Humano
São Paulo,BIRITIBA-MIRIM,0.712,0.64,0.795,0.71,Médio Desenvolvimento Humano
São Paulo,BOA ESPERANÇA DO SUL,0.681,0.562,0.811,0.692,Médio Desenvolvimento Humano
São Paulo,BOCAINA,0.742,0.656,0.84,0.741,Médio Desenvolvimento Humano
São Paulo,BOFETE,0.705,0.609,0.821,0.7,Médio Desenvolvimento Humano
São Paulo,BOITUVA,0.78,0.728,0.861,0.757,Médio Desenvolvimento Humano
São Paulo,BOM JESUS DOS PERDÕES,0.713,0.631,0.802,0.716,Médio Desenvolvimento Humano
São Paulo,BOM SUCESSO DE ITARARÉ,0.66,0.613,0.775,0.605,Médio Desenvolvimento Humano
São Paulo,BORÁ,0.746,0.675,0.863,0.712,Médio Desenvolvimento Humano
São Paulo,BORACÉIA,0.754,0.685,0.866,0.723,Médio Desenvolvimento Humano
São Paulo,BORBOREMA,0.73,0.658,0.831,0.71,Médio Desenvolvimento Humano
São Paulo,BOREBI,0.705,0.615,0.846,0.674,Médio Desenvolvimento Humano
São Paulo,BOTUCATU,0.8,0.746,0.869,0.79,Alto Desenvolvimento Humano
São Paulo,BRAGANÇA PAULISTA,0.776,0.704,0.861,0.772,Médio Desenvolvimento Humano
São Paulo,BRAÚNA,0.737,0.664,0.83,0.725,Médio Desenvolvimento Humano
São Paulo,BREJO ALEGRE,0.71,0.618,0.826,0.702,Médio Desenvolvimento Humano
São Paulo,BRODOWSKI,0.755,0.675,0.864,0.738,Médio Desenvolvimento Humano
São Paulo,BROTAS,0.74,0.688,0.815,0.724,Médio Desenvolvimento Humano
São Paulo,BURI,0.667,0.578,0.799,0.642,Médio Desenvolvimento Humano
São Paulo,BURITAMA,0.763,0.72,0.839,0.736,Médio Desenvolvimento Humano
São Paulo,BURITIZAL,0.735,0.643,0.83,0.743,Médio Desenvolvimento Humano
São Paulo,CABRÁLIA PAULISTA,0.694,0.619,0.811,0.667,Médio Desenvolvimento Humano
São Paulo,CABREÚVA,0.738,0.678,0.828,0.717,Médio Desenvolvimento Humano
São Paulo,CAÇAPAVA,0.788,0.755,0.858,0.754,Médio Desenvolvimento Humano
São Paulo,CACHOEIRA PAULISTA,0.764,0.728,0.837,0.733,Médio Desenvolvimento Humano
São Paulo,CACONDE,0.72,0.62,0.858,0.701,Médio Desenvolvimento Humano
São Paulo,CAFELÂNDIA,0.742,0.661,0.867,0.714,Médio Desenvolvimento Humano
São Paulo,CAIABU,0.729,0.691,0.823,0.682,Médio Desenvolvimento Humano
São Paulo,CAIEIRAS,0.781,0.749,0.861,0.74,Médio Desenvolvimento Humano
São Paulo,CAIUÁ,0.697,0.635,0.802,0.665,Médio Desenvolvimento Humano
São Paulo,CAJAMAR,0.728,0.668,0.81,0.713,Médio Desenvolvimento Humano
São Paulo,CAJATI,0.694,0.611,0.832,0.658,Médio Desenvolvimento Humano
São Paulo,CAJOBI,0.734,0.674,0.822,0.714,Médio Desenvolvimento Humano
São Paulo,CAJURU,0.713,0.633,0.825,0.693,Médio Desenvolvimento Humano
São Paulo,CAMPINA DO MONTE ALEGRE,0.717,0.634,0.846,0.687,Médio Desenvolvimento Humano
São Paulo,CAMPINAS,0.805,0.731,0.86,0.829,Alto Desenvolvimento Humano
São Paulo,CAMPO LIMPO PAULISTA,0.769,0.739,0.84,0.733,Médio Desenvolvimento Humano
São Paulo,CAMPOS DO JORDÃO,0.749,0.648,0.852,0.761,Médio Desenvolvimento Humano
São Paulo,CAMPOS NOVOS PAULISTA,0.706,0.638,0.824,0.67,Médio Desenvolvimento Humano
São Paulo,CANANÉIA,0.72,0.649,0.851,0.677,Médio Desenvolvimento Humano
São Paulo,CANAS,0.704,0.677,0.797,0.646,Médio Desenvolvimento Humano
São Paulo,CÂNDIDO MOTA,0.747,0.704,0.845,0.701,Médio Desenvolvimento Humano
São Paulo,CÂNDIDO RODRIGUES,0.789,0.762,0.863,0.747,Médio Desenvolvimento Humano
São Paulo,CANITAR,0.68,0.605,0.791,0.658,Médio Desenvolvimento Humano
São Paulo,CAPÃO BONITO,0.721,0.671,0.826,0.675,Médio Desenvolvimento Humano
São Paulo,CAPELA DO ALTO,0.699,0.617,0.823,0.673,Médio Desenvolvimento Humano
São Paulo,CAPIVARI,0.75,0.669,0.848,0.744,Médio Desenvolvimento Humano
São Paulo,CARAGUATATUBA,0.759,0.705,0.845,0.735,Médio Desenvolvimento Humano
São Paulo,CARAPICUÍBA,0.749,0.693,0.842,0.721,Médio Desenvolvimento Humano
São Paulo,CARDOSO,0.722,0.636,0.853,0.695,Médio Desenvolvimento Humano
São Paulo,CASA BRANCA,0.73,0.64,0.835,0.727,Médio Desenvolvimento Humano
São Paulo,CÁSSIA DOS COQUEIROS,0.734,0.673,0.864,0.68,Médio Desenvolvimento Humano
São Paulo,CASTILHO,0.731,0.686,0.827,0.688,Médio Desenvolvimento Humano
São Paulo,CATANDUVA,0.785,0.74,0.853,0.767,Médio Desenvolvimento Humano
São Paulo,CATIGUÁ,0.751,0.676,0.852,0.734,Médio Desenvolvimento Humano
São Paulo,CEDRAL,0.766,0.689,0.872,0.749,Médio Desenvolvimento Humano
São Paulo,CERQUEIRA CÉSAR,0.729,0.666,0.821,0.71,Médio Desenvolvimento Humano
São Paulo,CERQUILHO,0.782,0.739,0.854,0.758,Médio Desenvolvimento Humano
São Paulo,CESÁRIO LANGE,0.706,0.611,0.804,0.715,Médio Desenvolvimento Humano
São Paulo,CHARQUEADA,0.736,0.675,0.82,0.72,Médio Desenvolvimento Humano
São Paulo,CLEMENTINA,0.725,0.66,0.821,0.704,Médio Desenvolvimento Humano
São Paulo,COLINA,0.757,0.712,0.845,0.72,Médio Desenvolvimento Humano
São Paulo,COLÔMBIA,0.71,0.647,0.802,0.689,Médio Desenvolvimento Humano
São Paulo,CONCHAL,0.708,0.614,0.827,0.699,Médio Desenvolvimento Humano
São Paulo,CONCHAS,0.736,0.658,0.837,0.725,Médio Desenvolvimento Humano
São Paulo,CORDEIRÓPOLIS,0.758,0.674,0.858,0.754,Médio Desenvolvimento Humano
São Paulo,COROADOS,0.719,0.648,0.816,0.704,Médio Desenvolvimento Humano
São Paulo,CORONEL MACEDO,0.69,0.619,0.811,0.653,Médio Desenvolvimento Humano
São Paulo,CORUMBATAÍ,0.754,0.7,0.841,0.728,Médio Desenvolvimento Humano
São Paulo,COSMÓPOLIS,0.769,0.697,0.876,0.746,Médio Desenvolvimento Humano
São Paulo,COSMORAMA,0.722,0.63,0.849,0.705,Médio Desenvolvimento Humano
São Paulo,COTIA,0.78,0.707,0.851,0.789,Médio Desenvolvimento Humano
São Paulo,CRAVINHOS,0.756,0.683,0.857,0.737,Médio Desenvolvimento Humano
São Paulo,CRISTAIS PAULISTA,0.734,0.682,0.802,0.723,Médio Desenvolvimento Humano
São Paulo,CRUZÁLIA,0.774,0.778,0.853,0.698,Médio Desenvolvimento Humano
São Paulo,CRUZEIRO,0.788,0.758,0.871,0.742,Médio Desenvolvimento Humano
São Paulo,CUBATÃO,0.737,0.681,0.821,0.716,Médio Desenvolvimento Humano
São Paulo,CUNHA,0.684,0.576,0.826,0.672,Médio Desenvolvimento Humano
São Paulo,DESCALVADO,0.76,0.687,0.865,0.74,Médio Desenvolvimento Humano
São Paulo,DIADEMA,0.757,0.716,0.844,0.717,Médio Desenvolvimento Humano
São Paulo,DIRCE REIS,0.741,0.704,0.842,0.686,Médio Desenvolvimento Humano
São Paulo,DIVINOLÂNDIA,0.734,0.645,0.85,0.72,Médio Desenvolvimento Humano
São Paulo,DOBRADA,0.718,0.655,0.818,0.691,Médio Desenvolvimento Humano
São Paulo,DOIS CÓRREGOS,0.725,0.616,0.853,0.725,Médio Desenvolvimento Humano
São Paulo,DOLCINÓPOLIS,0.742,0.709,0.825,0.699,Médio Desenvolvimento Humano
São Paulo,DOURADO,0.738,0.689,0.811,0.718,Médio Desenvolvimento Humano
São Paulo,DRACENA,0.776,0.737,0.842,0.752,Médio Desenvolvimento Humano
São Paulo,DUARTINA,0.748,0.698,0.837,0.716,Médio Desenvolvimento Humano
São Paulo,DUMONT,0.744,0.674,0.849,0.72,Médio Desenvolvimento Humano
São Paulo,ECHAPORÃ,0.745,0.69,0.834,0.719,Médio Desenvolvimento Humano
São Paulo,ELDORADO,0.691,0.615,0.847,0.633,Médio Desenvolvimento Humano
São Paulo,ELIAS FAUSTO,0.695,0.583,0.822,0.701,Médio Desenvolvimento Humano
São Paulo,ELISIÁRIO,0.747,0.712,0.825,0.711,Médio Desenvolvimento Humano
São Paulo,EMBAÚBA,0.73,0.641,0.84,0.723,Médio Desenvolvimento Humano
São Paulo,EMBU,0.735,0.676,0.839,0.7,Médio Desenvolvimento Humano
São Paulo,EMBU-GUAÇU,0.749,0.708,0.834,0.713,Médio Desenvolvimento Humano
São Paulo,EMILIANÓPOLIS,0.727,0.691,0.805,0.69,Médio Desenvolvimento Humano
São Paulo,ENGENHEIRO COELHO,0.732,0.668,0.815,0.72,Médio Desenvolvimento Humano
São Paulo,ESPÍRITO SANTO DO PINHAL,0.787,0.712,0.872,0.784,Médio Desenvolvimento Humano
São Paulo,ESPÍRITO SANTO DO TURVO,0.696,0.609,0.819,0.675,Médio Desenvolvimento Humano
São Paulo,ESTRELA D'OESTE,0.76,0.705,0.873,0.712,Médio Desenvolvimento Humano
São Paulo,ESTRELA DO NORTE,0.74,0.714,0.818,0.693,Médio Desenvolvimento Humano
São Paulo,EUCLIDES DA CUNHA PAULISTA,0.704,0.655,0.802,0.663,Médio Desenvolvimento Humano
São Paulo,FARTURA,0.732,0.648,0.867,0.699,Médio Desenvolvimento Humano
São Paulo,FERNANDÓPOLIS,0.797,0.758,0.872,0.767,Médio Desenvolvimento Humano
São Paulo,FERNANDO PRESTES,0.758,0.68,0.859,0.746,Médio Desenvolvimento Humano
São Paulo,FERNÃO,0.703,0.617,0.843,0.668,Médio Desenvolvimento Humano
São Paulo,FERRAZ DE VASCONCELOS,0.738,0.703,0.828,0.691,Médio Desenvolvimento Humano
São Paulo,FLORA RICA,0.727,0.723,0.796,0.668,Médio Desenvolvimento Humano
São Paulo,FLOREAL,0.747,0.726,0.808,0.71,Médio Desenvolvimento Humano
São Paulo,FLÓRIDA PAULISTA,0.715,0.646,0.807,0.702,Médio Desenvolvimento Humano
São Paulo,FLORÍNIA,0.713,0.652,0.82,0.678,Médio Desenvolvimento Humano
São Paulo,FRANCA,0.78,0.753,0.842,0.749,Médio Desenvolvimento Humano
São Paulo,FRANCISCO MORATO,0.703,0.647,0.815,0.659,Médio Desenvolvimento Humano
São Paulo,FRANCO DA ROCHA,0.731,0.654,0.852,0.702,Médio Desenvolvimento Humano
São Paulo,GABRIEL MONTEIRO,0.763,0.762,0.809,0.721,Médio Desenvolvimento Humano
São Paulo,GÁLIA,0.709,0.634,0.823,0.684,Médio Desenvolvimento Humano
São Paulo,GARÇA,0.769,0.728,0.849,0.737,Médio Desenvolvimento Humano
São Paulo,GASTÃO VIDIGAL,0.723,0.635,0.817,0.727,Médio Desenvolvimento Humano
São Paulo,GAVIÃO PEIXOTO,0.719,0.676,0.802,0.687,Médio Desenvolvimento Humano
São Paulo,GENERAL SALGADO,0.747,0.702,0.808,0.734,Médio Desenvolvimento Humano
São Paulo,GETULINA,0.717,0.652,0.813,0.696,Médio Desenvolvimento Humano
São Paulo,GLICÉRIO,0.735,0.63,0.858,0.735,Médio Desenvolvimento Humano
São Paulo,GUAIÇARA,0.739,0.679,0.853,0.697,Médio Desenvolvimento Humano
São Paulo,GUAIMBÊ,0.728,0.689,0.83,0.675,Médio Desenvolvimento Humano
São Paulo,GUAÍRA,0.753,0.683,0.824,0.759,Médio Desenvolvimento Humano
São Paulo,GUAPIAÇU,0.725,0.605,0.866,0.728,Médio Desenvolvimento Humano
São Paulo,GUAPIARA,0.675,0.602,0.806,0.634,Médio Desenvolvimento Humano
São Paulo,GUARÁ,0.718,0.63,0.826,0.71,Médio Desenvolvimento Humano
São Paulo,GUARAÇAÍ,0.719,0.663,0.803,0.699,Médio Desenvolvimento Humano
São Paulo,GUARACI,0.737,0.682,0.84,0.698,Médio Desenvolvimento Humano
São Paulo,GUARANI D'OESTE,0.732,0.714,0.806,0.682,Médio Desenvolvimento Humano
São Paulo,GUARANTÃ,0.713,0.623,0.832,0.698,Médio Desenvolvimento Humano
São Paulo,GUARARAPES,0.763,0.726,0.84,0.727,Médio Desenvolvimento Humano
São Paulo,GUARAREMA,0.731,0.656,0.817,0.729,Médio Desenvolvimento Humano
São Paulo,GUARATINGUETÁ,0.798,0.751,0.886,0.764,Médio Desenvolvimento Humano
São Paulo,GUAREÍ,0.687,0.583,0.805,0.692,Médio Desenvolvimento Humano
São Paulo,GUARIBA,0.719,0.645,0.811,0.712,Médio Desenvolvimento Humano
São Paulo,GUARUJÁ,0.751,0.679,0.854,0.729,Médio Desenvolvimento Humano
São Paulo,GUARULHOS,0.763,0.717,0.831,0.746,Médio Desenvolvimento Humano
São Paulo,GUATAPARÁ,0.743,0.688,0.822,0.724,Médio Desenvolvimento Humano
São Paulo,GUZOLÂNDIA,0.697,0.621,0.808,0.676,Médio Desenvolvimento Humano
